Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
2 e.srt,265,266,"00:21:48,542 --> 00:21:50,954","00:21:50,955 --> 00:21:54,542",252,"00:21:48,542 --> 00:21:54,542",two guys tried to take them on.,"A gun went off in business, there was a fight, two guys tried to take them on."
2 e.srt,326,327,"00:27:02,940 --> 00:27:04,901","00:27:04,902 --> 00:27:07,736",312,"00:27:02,940 --> 00:27:07,736",she left early. She said she was sick.,"Your friend Neela, you were right, she left early. She said she was sick."
2 e.srt,335,337,"00:28:17,598 --> 00:28:18,932","00:28:20,337 --> 00:28:22,269",320,"00:28:17,598 --> 00:28:22,269",I get why you might call me,"Okay. Again, yeah, I get why you might call me about all the counterterrorism stuff, but..."
2 e.srt,344,345,"00:28:36,075 --> 00:28:38,285","00:28:38,368 --> 00:28:40,704",327,"00:28:36,075 --> 00:28:40,704",she cares too much about what this guy says and does?,"You think that for someone who's meant to have moved on, she cares too much about what this guy says and does?"
2 e.srt,353,354,"00:29:05,104 --> 00:29:06,605","00:29:06,688 --> 00:29:08,190",335,"00:29:05,104 --> 00:29:08,190",- and she's worth fighting for... - She is.,"Look, Daniel, if it was me, okay, - and she's worth fighting for... - She is."
2 e.srt,355,356,"00:29:08,273 --> 00:29:10,192","00:29:10,275 --> 00:29:12,694",336,"00:29:08,273 --> 00:29:12,694",'cause I'm just gonna make sure that she cares about me more.,"Then she can care about this guy all she wants, 'cause I'm just gonna make sure that she cares about me more."
2 e.srt,359,360,"00:29:17,783 --> 00:29:19,592","00:29:19,593 --> 00:29:21,120",339,"00:29:17,783 --> 00:29:21,120","about this kinda thing again, yeah?","Yeah, and maybe... maybe don't call me about this kinda thing again, yeah?"
2 e.srt,363,364,"00:29:39,638 --> 00:29:41,638","00:29:41,639 --> 00:29:43,183",342,"00:29:39,638 --> 00:29:43,183",how do you read?,"Kingdom 2-9, this is Baghdad control, how do you read?"
2 e.srt,368,369,"00:30:07,958 --> 00:30:09,212","00:30:09,213 --> 00:30:11,587",346,"00:30:07,958 --> 00:30:11,587","this is Baghdad control, how do you read?","Kingdom 2-9, this is Baghdad control, how do you read?"
2 e.srt,378,380,"00:30:34,777 --> 00:30:36,862","00:30:39,448 --> 00:30:41,617",355,"00:30:34,777 --> 00:30:41,617","because he thinks this is going to stop,","He wants the ground to know something's wrong because he thinks this is going to stop, but it's actually going to make it a lot worse."
2 e.srt,382,383,"00:30:44,369 --> 00:30:48,415","00:30:48,499 --> 00:30:52,377",357,"00:30:44,369 --> 00:30:52,377",please call Baghdad control on 123 decimal 52.,"Kingdom 2-9 on airway Lima 602, please call Baghdad control on 123 decimal 52."
2 e.srt,389,390,"00:31:08,268 --> 00:31:10,229","00:31:10,312 --> 00:31:12,356",363,"00:31:08,268 --> 00:31:12,356","they'll scramble the jets, and if they do that...","Listen, listen, if they think something's wrong, they'll scramble the jets, and if they do that..."
2 e.srt,403,404,"00:32:01,447 --> 00:32:04,158","00:32:04,241 --> 00:32:07,119",376,"00:32:01,447 --> 00:32:07,119","because he thinks this is gonna stop. Can you tell him, please?","He wants the ground to know that something's wrong because he thinks this is gonna stop. Can you tell him, please?"
2 e.srt,410,411,"00:32:28,348 --> 00:32:30,142","00:32:30,225 --> 00:32:32,144",382,"00:32:28,348 --> 00:32:32,144","and tell them everything is all right, you hear me?","What you've gotta do is get in the cockpit and tell them everything is all right, you hear me?"
2 e.srt,412,413,"00:32:32,227 --> 00:32:35,022","00:32:35,105 --> 00:32:37,232",383,"00:32:32,227 --> 00:32:37,232",- than they are now. Listen to me... - Just take your hand off the belt.,"If you put me in that cockpit, it's only gonna make matters worse - than they are now. Listen to me... - Just take your hand off the belt."
2 e.srt,429,430,"00:33:34,915 --> 00:33:37,418","00:33:37,501 --> 00:33:39,628",399,"00:33:34,915 --> 00:33:39,628",Captain Robin Allen speaking. Good morning.,"Baghdad control, this is Kingdom 2-9, Captain Robin Allen speaking. Good morning."
2 e.srt,438,439,"00:34:10,075 --> 00:34:12,453","00:34:12,536 --> 00:34:15,581",407,"00:34:10,075 --> 00:34:15,581",so we're not exactly covering ourselves in glory this morning.,We've been having a lot of radio problems so we're not exactly covering ourselves in glory this morning.
2 e.srt,469,470,"00:37:06,460 --> 00:37:08,962","00:37:09,046 --> 00:37:12,007",437,"00:37:06,460 --> 00:37:12,007",Dubai had already had a call earlier. It was already sorted.,"- Here we go. - Well, you get a call, you call Dubai, Dubai had already had a call earlier. It was already sorted."
2 e.srt,474,475,"00:37:18,931 --> 00:37:21,183","00:37:21,266 --> 00:37:25,104",441,"00:37:18,931 --> 00:37:25,104",manages to get a message to us via Counter Terrorism of all people?,"Somebody on board calls the UK, manages to get a message to us via Counter Terrorism of all people?"
2 e.srt,476,477,"00:37:25,979 --> 00:37:28,941","00:37:29,024 --> 00:37:30,401",442,"00:37:25,979 --> 00:37:30,401",they've also got it wrong?,"But the passenger who's done that, who's gone to all that trouble, they've also got it wrong?"
2 e.srt,480,481,"00:37:36,740 --> 00:37:37,743","00:37:37,744 --> 00:37:41,534",445,"00:37:36,740 --> 00:37:41,534",why didn't the second caller send any more messages?,"If it was all fixed, why didn't the second caller send any more messages?"
2 e.srt,488,489,"00:38:19,908 --> 00:38:22,202","00:38:22,286 --> 00:38:25,289",452,"00:38:19,908 --> 00:38:25,289",- now we're just double-checking with you. - Ask if they can share their screen.,"Yeah, no, we have double-checked with Dubai, - now we're just double-checking with you. - Ask if they can share their screen."
2 e.srt,496,497,"00:38:46,310 --> 00:38:48,854","00:38:48,937 --> 00:38:50,647",459,"00:38:46,310 --> 00:38:50,647",and that route would have been uploaded before takeoff.,"Is that the standard route? Yeah, that's fine, apparently, and that route would have been uploaded before takeoff."
2 e.srt,515,516,"00:40:00,092 --> 00:40:04,138","00:40:04,221 --> 00:40:06,432",477,"00:40:00,092 --> 00:40:06,432",but someone's changed it to 323.,It's a three degree shift. It's meant to be at 320 degrees but someone's changed it to 323.
3 e.srt,6,9,"00:00:15,349 --> 00:00:17,893","00:00:23,716 --> 00:00:27,778",6,"00:00:15,349 --> 00:00:27,778","that due to its changing course and unusual communications,","We're saying, if you let me speak, that due to its changing course and unusual communications, that there is a stronger chance than ever that flight KA29 is in danger."
3 e.srt,11,12,"00:00:29,196 --> 00:00:32,950","00:00:32,950 --> 00:00:36,703",8,"00:00:29,196 --> 00:00:36,703","and as of whatever it is now, 8:07, that's all we've got.","Failure to respond, contradiction in statements made by the pilot, and as of whatever it is now, 8:07, that's all we've got."
3 e.srt,31,32,"00:02:02,581 --> 00:02:05,459","00:02:05,459 --> 00:02:07,794",27,"00:02:02,581 --> 00:02:07,794",due to arrive in London in five hours.,We have a suspected hijack of a British passenger plane due to arrive in London in five hours.
3 e.srt,48,49,"00:04:32,147 --> 00:04:34,443","00:04:34,444 --> 00:04:36,276",43,"00:04:32,147 --> 00:04:36,276",and the calm of the world around you.,Take a moment to take in the peace and the calm of the world around you.
3 e.srt,63,64,"00:05:22,739 --> 00:05:24,157","00:05:24,157 --> 00:05:25,909",57,"00:05:22,739 --> 00:05:25,909",for thirty years.,Because he was in the Egyptian military for thirty years.
3 e.srt,77,78,"00:06:22,591 --> 00:06:24,441","00:06:24,442 --> 00:06:26,512",70,"00:06:22,591 --> 00:06:26,512",and just entering Turkish airspace.,Kingdom 2-9 is leaving northern Iraq and just entering Turkish airspace.
3 e.srt,79,80,"00:06:27,596 --> 00:06:29,223","00:06:29,224 --> 00:06:31,141",71,"00:06:27,596 --> 00:06:31,141",one more time on this change of route.,Let's have Istanbul challenge the pilot one more time on this change of route.
3 e.srt,87,89,"00:06:50,869 --> 00:06:53,357","00:06:54,998 --> 00:06:57,084",78,"00:06:50,869 --> 00:06:57,084","by the PLO, or whoever,","He says in the hijacks he dealt with by the PLO, or whoever, they never had live rounds."
3 e.srt,92,93,"00:07:06,009 --> 00:07:07,427","00:07:07,427 --> 00:07:10,222",81,"00:07:06,009 --> 00:07:10,222",but they do no damage because there's no actual bullet.,"They keep people in check, but they do no damage because there's no actual bullet."
3 e.srt,96,97,"00:07:18,730 --> 00:07:20,774","00:07:20,774 --> 00:07:23,151",84,"00:07:18,730 --> 00:07:23,151","no one was hit, no hole in the plane, nothing.","The shot that was fired in business, no one was hit, no hole in the plane, nothing."
3 e.srt,116,117,"00:08:21,668 --> 00:08:22,912","00:08:22,913 --> 00:08:25,505",103,"00:08:21,668 --> 00:08:25,505",you've got to put yourself in their shoes.,"If you want to get the better of someone, you've got to put yourself in their shoes."
3 e.srt,124,125,"00:08:42,063 --> 00:08:44,815","00:08:44,816 --> 00:08:46,693",110,"00:08:42,063 --> 00:08:46,693",for when the passengers try it on.,"You'd say, I need a gun to protect myself for when the passengers try it on."
3 e.srt,220,221,"00:16:53,096 --> 00:16:56,767","00:16:56,767 --> 00:16:58,143",205,"00:16:53,096 --> 00:16:58,143",turn on their reading light.,"if they can't find anything, if they're sure there's nothing, turn on their reading light."
3 e.srt,236,238,"00:19:07,272 --> 00:19:10,400","00:19:13,362 --> 00:19:16,114",220,"00:19:07,272 --> 00:19:16,114",the pilot makes a distress call to air traffic control,"Thirty-five minutes after departure, the pilot makes a distress call to air traffic control citing a definite security incident."
3 e.srt,239,240,"00:19:16,114 --> 00:19:17,658","00:19:17,658 --> 00:19:21,370",221,"00:19:16,114 --> 00:19:21,370",the pilot calls back saying that the issue's been resolved.,"Then, seven minutes later, the pilot calls back saying that the issue's been resolved."
