Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
4 eng.srt,590,591,"00:32:04,883 --> 00:32:07,344","00:32:08,303 --> 00:32:10,305",546,"00:32:04,883 --> 00:32:10,305",Every time I hear.,I keep forgettin' Every time I hear.
4 eng.srt,598,599,"00:32:43,839 --> 00:32:45,299","00:32:47,217 --> 00:32:49,344",553,"00:32:43,839 --> 00:32:49,344",But if you wanna give it a go...,I keep forgettin' But if you wanna give it a go...
4 eng.srt,614,615,"00:33:35,182 --> 00:33:38,602","00:33:38,685 --> 00:33:41,104",568,"00:33:35,182 --> 00:33:41,104",for any New York sports fan.,Our next item up on the block is a must-have for any New York sports fan.
4 eng.srt,617,618,"00:33:42,898 --> 00:33:45,859","00:33:45,943 --> 00:33:47,819",570,"00:33:42,898 --> 00:33:47,819",Mickey Mantle himself.,We have a game baseball signed by Yankee legend Mickey Mantle himself.
4 eng.srt,691,693,"00:37:16,695 --> 00:37:17,821","00:37:22,576 --> 00:37:26,580",643,"00:37:16,695 --> 00:37:26,580","To be honest, I think he's a little freaked out","Well… To be honest, I think he's a little freaked out about how much of his money you spent on a baseball."
4 eng.srt,698,700,"00:37:37,925 --> 00:37:39,301","00:37:41,011 --> 00:37:42,572",648,"00:37:37,925 --> 00:37:42,572",He's sitting…,Where is he? I wanna… He's sitting… - He's sitting down. But... - I'll be right...
4 eng.srt,711,712,"00:38:13,669 --> 00:38:15,337","00:38:15,963 --> 00:38:18,006",659,"00:38:13,669 --> 00:38:18,006",- shortness of breath… - Listen. Listen to me.,"- Yes. - I just have a little dizziness, - shortness of breath… - Listen. Listen to me."
4 eng.srt,716,717,"00:38:23,679 --> 00:38:25,347","00:38:25,430 --> 00:38:28,058",663,"00:38:23,679 --> 00:38:28,058",We're gonna get you to the hospital. We're going to the hospital.,- No. Come here. - I don't want anyone… We're gonna get you to the hospital. We're going to the hospital.
4 eng.srt,726,727,"00:39:01,258 --> 00:39:02,259","00:39:05,554 --> 00:39:06,597",672,"00:39:01,258 --> 00:39:06,597",How's my favorite patient?,Or… How's my favorite patient?
4 eng.srt,732,733,"00:39:18,567 --> 00:39:19,568","00:39:20,819 --> 00:39:22,779",677,"00:39:18,567 --> 00:39:22,779",I owe you an apology.,Marty… I owe you an apology.
4 eng.srt,737,738,"00:39:31,580 --> 00:39:33,832","00:39:35,792 --> 00:39:36,835",681,"00:39:31,580 --> 00:39:36,835",I would have...,"Had I gotten in that cab and gone home, I would have..."
4 eng.srt,742,743,"00:39:53,769 --> 00:39:55,521","00:40:02,194 --> 00:40:03,237",685,"00:39:53,769 --> 00:40:03,237",Hey.,"It's just, without you… Hey."
4 eng.srt,754,755,"00:40:38,981 --> 00:40:40,983","00:40:41,066 --> 00:40:44,444",696,"00:40:38,981 --> 00:40:44,444","or ""ask me out on another date"" flowers?","Do you think they're ""get well"" flowers or ""ask me out on another date"" flowers?"
4 eng.srt,758,759,"00:40:49,324 --> 00:40:51,535","00:40:51,618 --> 00:40:52,995",699,"00:40:49,324 --> 00:40:52,995",but maybe there's a future there.,"Hope I didn't blow it, 'cause this may sound crazy, but maybe there's a future there."
4 eng.srt,763,765,"00:41:00,961 --> 00:41:02,838","00:41:06,300 --> 00:41:09,595",703,"00:41:00,961 --> 00:41:09,595","I really like her,","No. No, I know. I just… I really like her, and I just don't know how she feels about me."
4 eng.srt,778,779,"00:41:43,212 --> 00:41:46,548","00:41:48,467 --> 00:41:51,929",716,"00:41:43,212 --> 00:41:51,929",I feel awful about what happened to him.,"Well, between you and me… I feel awful about what happened to him."
4 eng.srt,782,783,"00:41:58,560 --> 00:42:01,688","00:42:03,190 --> 00:42:05,400",719,"00:41:58,560 --> 00:42:05,400",I never should have pushed him so hard.,"As his therapist and as his friend, I never should have pushed him so hard."
4 eng.srt,792,793,"00:42:31,802 --> 00:42:35,389","00:42:35,472 --> 00:42:37,641",728,"00:42:31,802 --> 00:42:37,641",however painful it might be.,"But I think it's imperative that we do what's best for Marty, however painful it might be."
4 eng.srt,800,801,"00:43:03,250 --> 00:43:04,626","00:43:04,710 --> 00:43:07,087",735,"00:43:03,250 --> 00:43:07,087",we'll still be serving it at the girls' graduation.,"Besides, you ordered so much food, we'll still be serving it at the girls' graduation."
5 eng.srt,13,14,"00:01:39,475 --> 00:01:42,311","00:01:42,395 --> 00:01:44,021",13,"00:01:39,475 --> 00:01:44,021",because I had no grandparents.,I knew as a toddler that my father had lost his parents because I had no grandparents.
5 eng.srt,24,25,"00:02:34,614 --> 00:02:38,659","00:02:38,742 --> 00:02:42,622",23,"00:02:34,614 --> 00:02:42,622",to be called Wolfgang Herschkopf's son.,I am nothing but grateful and humbled to be called Wolfgang Herschkopf's son.
5 eng.srt,31,33,"00:02:56,510 --> 00:03:00,514","00:03:04,519 --> 00:03:06,020",29,"00:02:56,510 --> 00:03:06,020",I was just wondering if you guys would wanna come to the Hamptons house,"So I was thinking, with the holiday coming up, well… I was just wondering if you guys would wanna come to the Hamptons house for Memorial Day weekend."
5 eng.srt,38,39,"00:03:21,745 --> 00:03:26,875","00:03:26,957 --> 00:03:30,127",34,"00:03:21,745 --> 00:03:30,127","it can be, you know, a more difficult time.","Sometimes when Shiva is over and things go back to normal, it can be, you know, a more difficult time."
5 eng.srt,40,41,"00:03:30,211 --> 00:03:31,212","00:03:32,129 --> 00:03:37,760",35,"00:03:30,211 --> 00:03:37,760",You might really enjoy being somewhere where you can relax and be taken care of.,I just thought… You might really enjoy being somewhere where you can relax and be taken care of.
5 eng.srt,72,73,"00:05:11,478 --> 00:05:15,149","00:05:15,233 --> 00:05:17,651",66,"00:05:11,478 --> 00:05:17,651",and a lot of polyester pants.,All my dad left me was partial hearing in my right ear and a lot of polyester pants.
5 eng.srt,204,205,"00:13:54,919 --> 00:13:56,004","00:13:56,086 --> 00:13:57,923",197,"00:13:54,919 --> 00:13:57,923",- for your environment. - What do you mean?,Now you need to do the same - for your environment. - What do you mean?
5 eng.srt,207,209,"00:14:00,341 --> 00:14:02,469","00:14:05,971 --> 00:14:07,640",199,"00:14:00,341 --> 00:14:07,640","as you become more authentic, more able to invite people in,","As you become more comfortable with yourself, as you become more authentic, more able to invite people in, you need to do the same with your home."
