Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
5e.srt,426,427,"00:17:44,524 --> 00:17:49,654","00:17:49,654 --> 00:17:50,739",404,"00:17:44,524 --> 00:17:50,739",[Will] Test your might.,"- [yelling] - [Stewart, Charlie cheering] [Will] Test your might."
5e.srt,447,454,"00:18:36,117 --> 00:18:39,204","00:19:12,612 --> 00:19:17,993",424,"00:18:36,117 --> 00:19:17,993","♪ The pipes, the pipes are calling ♪","♪ Oh, Danny boy ♪ ♪ The pipes, the pipes are calling ♪ ♪ From glen to glen ♪ ♪ And down the mountainside ♪ ♪ The summer's gone ♪ - ♪ And all the roses falling ♪ - [Will chuckles] ♪ It's you, it's you must go ♪ ♪ And I must bide ♪"
5e.srt,468,469,"00:19:41,892 --> 00:19:47,272","00:19:47,272 --> 00:19:52,235",438,"00:19:41,892 --> 00:19:52,235","- 19, 23, 41, 43, 40... No, no, no. - We believe you. We believe you.","- Two, three, five, seven, 11, 13, 17, - [cheering continues] - 19, 23, 41, 43, 40... No, no, no. - We believe you. We believe you."
5e.srt,479,481,"00:20:34,361 --> 00:20:36,488","00:20:37,739 --> 00:20:40,033",448,"00:20:34,361 --> 00:20:40,033",- It has to be quiet! - [music stops],- [Will] Oh. - [bar patrons cheering] - It has to be quiet! - [music stops] It's gotta be completely quiet for me to do this.
5e.srt,484,485,"00:20:46,873 --> 00:20:48,250","00:20:48,250 --> 00:20:50,168",451,"00:20:46,873 --> 00:20:50,168",- Oh. [shushes] - [bar patron 2] Oh.,- Goddamn. - [bar patron laughs] - Oh. [shushes] - [bar patron 2] Oh.
5e.srt,489,490,"00:21:00,637 --> 00:21:02,264","00:21:04,099 --> 00:21:06,476",455,"00:21:00,637 --> 00:21:06,476",- What the fuck is happening right now? - The best day of my life.,- [shushes] - [shushes] - What the fuck is happening right now? - The best day of my life.
5e.srt,497,498,"00:21:24,411 --> 00:21:25,537","00:21:25,537 --> 00:21:27,998",462,"00:21:24,411 --> 00:21:27,998",but I can draw a pretty good rhinoceros in like 30 seconds.,"Uh, nobody asked but I can draw a pretty good rhinoceros in like 30 seconds."
5e.srt,505,506,"00:21:46,850 --> 00:21:49,728","00:21:49,728 --> 00:21:50,645",469,"00:21:46,850 --> 00:21:50,645",Say what now?,- Big deal. I can suck my own dick. - [music ends] Say what now?
5e.srt,534,535,"00:22:56,378 --> 00:22:58,129","00:22:58,129 --> 00:23:00,715",497,"00:22:56,378 --> 00:23:00,715","Oh. Oh, wait, I'm sorry. Was I not supposed to say anything?","- Except for Charlie it seems. [laughs] - [Will chuckles] Oh. Oh, wait, I'm sorry. Was I not supposed to say anything?"
5e.srt,538,539,"00:23:04,219 --> 00:23:07,055","00:23:07,055 --> 00:23:09,140",500,"00:23:04,219 --> 00:23:09,140","- She's not 18. - No, she's 25.","- No. Peyton? What is she? Eighteen, 19? - [chuckles] - She's not 18. - No, she's 25."
5e.srt,540,541,"00:23:09,140 --> 00:23:10,725","00:23:10,725 --> 00:23:13,603",501,"00:23:09,140 --> 00:23:13,603","Oh, I feel like I asked you if you were seeing somebody.","- Oh, slay. - [all chuckling] Oh, I feel like I asked you if you were seeing somebody."
5e.srt,550,552,"00:23:28,618 --> 00:23:30,287","00:23:31,413 --> 00:23:34,332",510,"00:23:28,618 --> 00:23:34,332","and I said I had Vegemite toast,","Well, if you asked me what I had for breakfast, and I said I had Vegemite toast, but I actually had cereal then that would make me a liar."
5e.srt,568,569,"00:24:02,736 --> 00:24:04,654","00:24:04,654 --> 00:24:05,906",526,"00:24:02,736 --> 00:24:05,906",so no one gets called to order.,"An arbitration doesn't happen in a courtroom, so no one gets called to order."
5e.srt,571,572,"00:24:07,490 --> 00:24:09,659","00:24:09,659 --> 00:24:11,995",528,"00:24:07,490 --> 00:24:11,995",- What are you doing? - There's no jury in an arbitration.,"- You're turning the jury against me, babe. - [stammers] - What are you doing? - There's no jury in an arbitration."
5e.srt,576,577,"00:24:19,294 --> 00:24:24,549","00:24:24,549 --> 00:24:28,345",532,"00:24:19,294 --> 00:24:28,345","at this bar that he had a girlfriend, because he's a giant weirdo.","My complaint is that my friend lied to me and told everybody else at this bar that he had a girlfriend, because he's a giant weirdo."
5e.srt,585,588,"00:24:40,690 --> 00:24:42,067","00:24:47,989 --> 00:24:49,950",540,"00:24:40,690 --> 00:24:49,950",I would like to asked the defendant why he could lie to my face,"So, in... as my closing argument, I would like to asked the defendant why he could lie to my face about something that he felt so freely to be able to share with a complete stranger such as my husband."
5e.srt,592,595,"00:24:55,580 --> 00:25:02,671","00:25:08,009 --> 00:25:13,515",544,"00:24:55,580 --> 00:25:13,515",to the plaintiff's husband,I was forced to confirm the existence of my alleged girlfriend to the plaintiff's husband when I confirmed that the plaintiff's husband was telling everyone at his work that I was your boyfriend.
5e.srt,597,598,"00:25:15,308 --> 00:25:17,227","00:25:19,688 --> 00:25:21,147",546,"00:25:15,308 --> 00:25:21,147",- What? - It was a joke.,- Got him. - [all laughing] - What? - It was a joke.
5e.srt,603,604,"00:25:31,199 --> 00:25:33,201","00:25:33,201 --> 00:25:34,327",551,"00:25:31,199 --> 00:25:34,327",What... How did it even come up?,- Unpack the comedy. I love a good joke. - [clears throat] What... How did it even come up?
5e.srt,612,613,"00:25:48,550 --> 00:25:50,594","00:25:50,594 --> 00:25:52,679",559,"00:25:48,550 --> 00:25:52,679",yet you talk about it so much at work you have a shorthand.,"Oh, okay. So you yourself don't have a problem with it, yet you talk about it so much at work you have a shorthand."
5e.srt,621,622,"00:26:10,780 --> 00:26:11,990","00:26:12,616 --> 00:26:15,702",567,"00:26:10,780 --> 00:26:15,702",I did a small amount of ketamine.,"Um, I did a small amount of ketamine."
5e.srt,637,638,"00:26:50,487 --> 00:26:51,529","00:26:51,529 --> 00:26:53,615",582,"00:26:50,487 --> 00:26:53,615","- Ah. Oh, no! - Oh, my God.","- Oh, no. - [bar patrons gasping] - Ah. Oh, no! - Oh, my God."
